25/10/2022 01:27:08 p. m. - 10.254.65.124Se borro defunción  11111111111111222222
25/10/2022 01:27:56 p. m. - 10.254.65.124Actualizo el Sexo  31100100011930000480
25/10/2022 01:27:56 p. m. - 10.254.65.124Se Borro Matrimonios   31100100011930000480
25/10/2022 01:29:58 p. m. - 10.254.65.124Se borro defunción  11111111111111111222
25/10/2022 01:30:06 p. m. - 10.254.65.124Se Borro Matrimonios   11111112222222222222
25/10/2022 01:30:13 p. m. - 10.254.65.124Se borri Nacimiento 11111111111112222222
25/10/2022 01:30:19 p. m. - 10.254.65.124Se subio Acta de nacimiento  11111111111111122222
25/10/2022 01:30:25 p. m. - 10.254.65.124Se subio Acta de Matrimonio   11111111122222222222
25/10/2022 01:30:29 p. m. - 10.254.65.124Se subio Acta de Matrimonio   22222222222222111111
25/10/2022 01:30:34 p. m. - 10.254.65.124Se subio Acta de Defunción  11111111111111122222
25/10/2022 01:30:41 p. m. - 10.254.65.124Actualizo el Sexo  31100100011930000480
25/10/2022 01:30:41 p. m. - 10.254.65.124Se Borro Matrimonios   31100100011930000480
25/10/2022 01:47:23 p. m. - 10.254.65.124 - Se Borro Matrimonios   - 11111111111111111111
25/10/2022 01:47:42 p. m. - 10.254.65.124 - Actualizo el Sexo  - 31100100011930000480
25/10/2022 01:47:42 p. m. - 10.254.65.124 - Se Borro Matrimonios   - 31100100011930000480
25/10/2022 01:50:54 p. m. - 10.254.65.124 - Se Borro Matrimonios   - 33333333333333333333
25/10/2022 01:51:01 p. m. - 10.254.65.124 - Actualizo el Sexo  - 31100100011930000480
25/10/2022 01:51:01 p. m. - 10.254.65.124 - Se actualizo registro   - 31100100011930000480
25/10/2022 02:25:57 p. m. - 10.254.65.124 - Se subio Acta de nacimiento  - 22222222222222222222
25/10/2022 02:26:08 p. m. - 10.254.65.124 - Se subio Acta de nacimiento  - 11111111111111111111
25/10/2022 02:26:16 p. m. - 10.254.65.124 - Se subio Acta de nacimiento  - 22222222222222222222
25/10/2022 02:26:52 p. m. - 10.254.65.124 - Se subio Acta de nacimiento  - 11111111111111111111
25/10/2022 02:30:47 p. m. - 10.254.65.124 - Se subio Acta de Matrimonio   - 31111111111111111111
25/10/2022 02:32:13 p. m. - 10.254.65.124 - Se subio Acta de Defunción  - 21111111111111111111
25/10/2022 03:06:31 p. m. - 10.254.65.124 - Se subio Acta de nacimiento  - 11111111111111111111
25/10/2022 03:06:53 p. m. - 10.254.65.124 - Se subio Acta de nacimiento  - 11111111111111111111
25/10/2022 03:07:06 p. m. - 10.254.65.124 - Se subio Acta de Matrimonio   - 33333333333333333333
