21/12/2022 09:34:36 a. m. , 10.254.65.232 , Se actualizó Pais , 21
21/12/2022 09:35:29 a. m. , 10.254.65.232 , Se actualizó Pais , 21
21/12/2022 09:35:44 a. m. , 10.254.65.232 , Se actualizó Pais , 21
21/12/2022 09:36:02 a. m. , 10.254.65.232 , Se actualizó Pais , 21
21/12/2022 09:36:15 a. m. , 10.254.65.232 , Se actualizó Pais , 21
21/12/2022 09:40:54 a. m. , 10.254.65.232 , Se actualizó Pais , 21
21/12/2022 09:43:53 a. m. , 10.254.65.232 , Se agregó nuevo país , 53
21/12/2022 09:59:15 a. m. , 10.254.65.232 , Se Borro Matrimonios   , 31101700031992012130
21/12/2022 10:03:33 a. m. , 10.254.65.232 , Actualizo el Sexo  , 31101700031992012130
21/12/2022 10:03:33 a. m. , 10.254.65.232 , Se actualizo registro   , 31101700031992012130
21/12/2022 10:05:31 a. m. , 10.254.65.232 , Actualizo el Sexo  , 31101700031992012130
21/12/2022 10:05:31 a. m. , 10.254.65.232 , Se actualizo registro   , 31101700031992012130
21/12/2022 10:06:55 a. m. , 10.254.65.232 , Actualizo el Sexo  , 31101700031992012130
21/12/2022 10:06:55 a. m. , 10.254.65.232 , Se actualizo registro   , 31101700031992012130
21/12/2022 10:10:13 a. m. , 10.254.65.232 , Se subio Acta de Matrimonio   , 31101700031992012130
21/12/2022 10:11:19 a. m. , 10.254.65.232 , Se subio Acta de Matrimonio   , 31101700031992012130
21/12/2022 10:15:50 a. m. , 10.254.65.232 , Se borro Nacimiento , 11102000012005026130
21/12/2022 10:26:23 a. m. , 10.254.65.232 , Se actualizó nacionalidad , 11102000012005026130
21/12/2022 10:26:24 a. m. , 10.254.65.232 , Se subio Acta de nacimiento  , 11102000012005026130
21/12/2022 10:32:02 a. m. , 10.254.65.232 , Se actualizó nacionalidad , 11102000012005026130
21/12/2022 10:32:02 a. m. , 10.254.65.232 , Se subio Acta de nacimiento  , 11102000012005026130
21/12/2022 10:32:41 a. m. , 10.254.65.232 , Se subio Acta de nacimiento  , 11102000012005026130
21/12/2022 10:36:40 a. m. , 10.254.65.232 , Se borro defuncion  , 21100100011931000540
21/12/2022 10:37:43 a. m. , 10.254.65.232 , Se subio Acta de Defuncion  , 21100100011931000540
21/12/2022 10:39:34 a. m. , 10.254.65.232 , Se subio Acta de Defuncion  , 21100100011931000540
21/12/2022 11:15:11 a. m. , 10.254.65.12 , Se actualizó nacionalidad , 11103100012005017620
21/12/2022 11:15:13 a. m. , 10.254.65.12 , Se subio Acta de nacimiento  , 11103100012005017620
