18/11/2022 12:45:13 p. m. , ::1 , Se borro defunción  , 22222222222222222222
18/11/2022 12:57:24 p. m. , ::1 , Se borro Nacimiento , 11111199909090111111
18/11/2022 12:58:22 p. m. , ::1 , Se borro defunción  , 22224354353222321111
18/11/2022 01:01:21 p. m. , ::1 , Se borro defunción  , 22222212312312313210
18/11/2022 01:02:49 p. m. , ::1 , Se borro defunción  , 22222212312312313211
18/11/2022 01:10:32 p. m. , ::1 , Se borro defunción  , 22222222235453453453
18/11/2022 01:13:55 p. m. , ::1 , Se borro defunción  , 22222222345345634444
18/11/2022 02:37:10 p. m. , ::1 , Se borro defunción  , 21111111111111111111
18/11/2022 02:38:12 p. m. , ::1 , Se borro defunción  , 21111111111111111111
18/11/2022 02:54:42 p. m. , ::1 , Se borro defunción  , 21111111111111111111
18/11/2022 02:54:52 p. m. , ::1 , Se Borro Matrimonios   , 31111111111111111111
18/11/2022 03:11:10 p. m. , ::1 , Actualizo el Sexo  , 31100100011916003790
18/11/2022 03:11:10 p. m. , ::1 , Se actualizo registro   , 31100100011916003790
18/11/2022 03:15:14 p. m. , ::1 , Se Borro Matrimonios   , 31111111111111111111
18/11/2022 03:17:46 p. m. , ::1 , Se Borro Matrimonios   , 34523231222211111222
18/11/2022 03:18:54 p. m. , ::1 , Se subio Acta de Matrimonio   , 31221244554444444112
18/11/2022 03:19:33 p. m. , ::1 , Se borro defunción  , 21113221212134456566
18/11/2022 03:22:21 p. m. , ::1 , Se subio Acta de Defunción  , 21311133434335433434
18/11/2022 03:25:16 p. m. , ::1 , Se borro Nacimiento , 11212121323323222222
18/11/2022 03:25:48 p. m. , ::1 , Se subio Acta de nacimiento  , 14444444442121212112
