09/12/2022 10:22:49 a. m. , ::1 , Se actualizó nacionalidad , 11104300012008002830
09/12/2022 10:55:25 a. m. , ::1 , Se actualizó nacionalidad , 11104300012008002830
09/12/2022 10:55:26 a. m. , ::1 , Se subio Acta de nacimiento  , 11104300012008002830
09/12/2022 11:03:47 a. m. , ::1 , Se actualizó nacionalidad , 11104300012008002830
09/12/2022 11:03:48 a. m. , ::1 , Se subio Acta de nacimiento  , 11104300012008002830
09/12/2022 11:09:07 a. m. , ::1 , Se actualizó nacionalidad , 11104300012008002830
09/12/2022 11:09:09 a. m. , ::1 , Se subio Acta de nacimiento  , 11104300012008002830
09/12/2022 12:29:06 p. m. , ::1 , Se actualizó nacionalidad , 11104300012008002830
09/12/2022 12:29:11 p. m. , ::1 , Se subio Acta de nacimiento  , 11104300012008002830
09/12/2022 12:29:57 p. m. , ::1 , Se actualizó nacionalidad , 11104300012008002830
09/12/2022 12:30:00 p. m. , ::1 , Se subio Acta de nacimiento  , 11104300012008002830
09/12/2022 01:48:07 p. m. , ::1 , Se borro defuncion  , 21111111113332132123
